loan_status,loan_amnt,term,int_rate,installment,annual_inc,home_ownership,verification_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,application_type,tot_hi_cred_lim,avg_cur_bal,bc_open_to_buy,delinq_amnt,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_op_rev_tl,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies
Fully Paid,33000.0, 36 months,19.46,1217.34,24233.11,MORTGAGE,Not Verified,credit_card,FL,25.08,0,715.0,7,0,13024.58,15,f,Individual,86080.53,8116.55,1444.43,0,159.5,24.5,2.6,1,5.9,2,4,2,2,6,99.0,53.4,0
Fully Paid,8000.0, 36 months,20.04,297.47,66941.5,MORTGAGE,Not Verified,credit_card,TN,29.45,0,700.0,12,0,16754.51,33,f,Individual,21326.85,1816.9,12248.1,0,129.8,12.8,7.4,1,9.0,1,3,4,5,7,99.7,68.7,0
Fully Paid,21500.0, 36 months,18.11,778.46,352446.13,MORTGAGE,Source Verified,debt_consolidation,AZ,8.16,0,750.0,11,0,9194.34,23,w,Individual,32496.91,2605.41,1787.86,0,167.7,17.6,1.0,3,7.6,3,4,5,7,5,98.0,26.3,0
Fully Paid,5500.0, 36 months,21.07,207.41,46075.31,MORTGAGE,Not Verified,debt_consolidation,HI,19.75,0,735.0,14,1,24484.44,23,f,Individual,39186.78,7381.48,2631.41,0,194.7,8.4,6.5,3,1.2,4,8,6,9,9,99.9,73.6,1
Fully Paid,24500.0, 36 months,20.83,920.9,43002.94,RENT,Source Verified,debt_consolidation,WA,11.06,0,695.0,7,1,5571.26,20,w,Individual,79514.25,7930.75,5207.5,0,244.4,19.1,3.3,1,16.0,3,5,3,6,5,98.5,20.0,1
Fully Paid,35500.0, 36 months,18.85,1298.6,102609.95,MORTGAGE,Source Verified,debt_consolidation,ID,26.3,0,750.0,7,0,1846.46,22,f,Individual,65455.75,6274.74,1493.7,0,192.9,15.7,0.6,0,12.2,8,11,13,13,11,95.2,47.8,0
Fully Paid,38000.0, 36 months,23.37,1478.31,51826.39,MORTGAGE,Not Verified,other,AL,23.35,0,720.0,13,1,11308.87,26,f,Individual,58407.22,2644.79,49942.9,0,163.6,18.8,2.7,4,10.1,2,2,3,4,6,98.7,68.5,1
Fully Paid,11000.0, 36 months,18.68,401.44,147157.71,MORTGAGE,Not Verified,home_improvement,ME,8.95,0,735.0,14,0,9346.96,27,f,Individual,23781.89,1849.22,12323.7,0,173.1,17.8,11.5,4,7.2,2,6,2,3,7,97.5,61.8,0
Fully Paid,25000.0, 36 months,19.9,927.82,365420.93,RENT,Not Verified,credit_card,NM,17.14,0,725.0,12,0,25518.07,24,w,Individual,31808.11,2008.22,17954.19,0,226.7,14.8,1.6,0,24.8,6,7,7,10,8,96.3,16.1,0
Fully Paid,17000.0, 36 months,18.21,616.38,76770.56,MORTGAGE,Not Verified,debt_consolidation,WV,4.44,0,725.0,11,0,17598.82,21,f,Individual,50826.78,6112.0,3706.8,0,209.2,6.7,11.8,1,13.8,9,14,12,17,18,99.7,33.6,0
Fully Paid,31500.0, 60 months,25.2,928.26,433438.55,MORTGAGE,Not Verified,debt_consolidation,AL,25.27,1,725.0,8,0,15466.52,23,w,Individual,110809.23,10335.74,5865.49,0,191.2,11.9,2.5,2,20.8,2,6,2,9,8,74.5,53.9,0
Fully Paid,39000.0, 36 months,17.02,1390.84,54480.13,MORTGAGE,Source Verified,credit_card,VA,12.65,0,745.0,14,0,9912.46,37,w,Individual,69566.86,5020.64,3289.92,0,213.1,0.6,1.4,4,12.6,5,8,7,13,11,99.3,31.6,0
Fully Paid,20000.0, 36 months,14.42,687.64,65580.92,RENT,Source Verified,debt_consolidation,MN,7.59,0,745.0,7,0,9670.55,16,w,Individual,198503.06,54925.2,6965.7,0,162.0,6.7,2.9,0,19.7,5,9,7,12,12,99.1,19.7,0
Charged Off,6641.826900378349, 36 months,30.99,285.57,29030.35,RENT,Verified,credit_card,MA,19.56,0,675.0,12,0,6215.9,25,w,Individual,74802.88,8944.76,45205.26,0,271.7,5.3,5.8,0,2.3,3,6,6,9,8,96.6,89.4,0
Charged Off,40000.0, 36 months,28.11,1656.92,40433.74,RENT,Verified,other,PA,27.46,1,695.0,9,0,3265.14,22,w,Individual,54877.83,2457.98,0.0,0,167.0,14.5,14.3,0,2.6,5,6,5,6,8,72.5,31.9,0
Fully Paid,22500.0, 36 months,20.2,838.48,62620.2,MORTGAGE,Not Verified,debt_consolidation,ND,19.64,0,710.0,7,0,12384.71,17,w,Individual,421513.78,80622.2,21876.66,0,211.9,10.8,3.3,0,22.6,5,8,8,12,8,96.2,19.8,0
Fully Paid,7500.0, 36 months,20.76,281.64,95711.28,MORTGAGE,Verified,credit_card,SD,13.04,0,720.0,7,1,15381.51,28,w,Individual,18105.19,3230.11,626.5,0,177.7,6.2,31.9,0,13.5,2,3,3,4,5,95.6,57.7,1
